Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Slightly High,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Very HIgh,Almost Daily,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly High,Rarely,Predictable,High,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Low,Improve productivity,Busy,Managing,Very weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,Low,Fully refreshed,Comfortable,Mild
Slightly high,Frequently,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Controlled,Managing,Strong,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Often,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
High,Rarely,Sometimes unpredictable,Moderate,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Comfortable,Clear,Rare,High,Mostly refreshed,Slight discomfort,Noticeable
High,Rarely,Predictable,High,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Slight impact,Busy,Managing,Weak,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Low,Slight impact,Controlled,In control,Moderate,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Moderate,Reduce productivity,Chaotic,Struggling,Moderate,Slightly tired,Try to figure out,Rarely,Feel stressed,Sometimes,Comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,Low,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Sometimes,Very comfortable,Clear,Frequent,Moderate,Fully refreshed,Slight discomfort,Mild
High,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Very weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Frequent,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,Managing,Strong,Slightly tired,Clarify immediately,Frequently,Adjust quickly,Often,Slightly uncomfortable,Clear,Rare,Low,Fully refreshed,Uncomfortable,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Clear,Rare,Moderate,Mostly refreshed,Noticeable strain,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Predictable,High,Slight impact,Busy,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Sometimes,Slightly uncomfortable,Mostly clear,Rare,Very low,Fully refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Slightly refreshed,Slight discomfort,Minimal
Slightly high,Frequently,Predictable,Moderate,Slight impact,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Predictable,High,Improve productivity,Busy,In control,Strong,Slightly tired,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Slightly uncomfortable,Clear,Occasional,Moderate,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Mostly predictable,Low,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Constantly,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
High,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Clear,Constant,High,Fully refreshed,Comfortable,Minimal
Very high,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Predictable,High,Slight impact,Hectic,In control,Strong,Slightly tired,Try to figure out,Rarely,Feel stressed,Always,Very comfortable,Sometimes unclear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Slightly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Mostly predictable,Low,Improve productivity,Hectic,In control,Weak,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Always,Comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Uncomfortable,Clear,Rare,Low,Mostly refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
High,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Very weak,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Almost daily,Mostly predictable,High,Reduce productivity,Controlled,Struggling,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Comfortable,Clear,Occasional,Moderate,Mostly refreshed,Noticeable strain,Mild
High,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,Struggling,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Occasional,Low,Mostly refreshed,Slight discomfort,Mild
Slightly high,Almost daily,Predictable,Moderate,Reduce productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Always,Comfortable,Clear,Constant,High,Mostly refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,High,Slight impact,Busy,Managing,Moderate,Overwhelmed,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Mostly predictable,High,Major disruption,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,In control,Moderate,Overwhelmed,Clarify immediately,Occasionally,Adjust quickly,Always,Very comfortable,Clear,Constant,Moderate,Fully refreshed,Comfortable,Minimal
High,Occasionally,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Mostly clear,Frequent,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Almost daily,Predictable,Moderate,Slight impact,Busy,Managing,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Slight discomfort,Noticeable
High,Rarely,Predictable,High,Slight impact,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Constantly,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Frequent,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,Low,Improve productivity,Busy,In control,Moderate,Mentally drained,Try to figure out,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Uncomfortable,Mild
Well-balanced,Frequently,Predictable,High,Improve productivity,Busy,Managing,Weak,Slightly tired,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Very low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Reduce productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Slight impact,Hectic,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Avoid it,Frequently,Feel stressed,Always,Comfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Mild
Very high,Rarely,Predictable,High,Improve productivity,Busy,In control,Moderate,Slightly tired,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Highly unpredictable,Moderate,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Often,Comfortable,Clear,Occasional,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Occasionally,Feel stressed,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,Moderate,Improve productivity,Busy,In control,Strong,Satisfied and clear,Delay starting,Rarely,Avoid dealing,Often,Comfortable,Clear,Occasional,Moderate,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Highly unpredictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Comfortable,Noticeable
High,Rarely,Predictable,High,Slight impact,Controlled,Managing,Moderate,Mentally drained,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Rare,Very low,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Frequently,Predictable,Moderate,Improve productivity,Chaotic,Struggling,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Slightly high,Occasionally,Predictable,No control,Slight impact,Busy,In control,Moderate,Slightly tired,Delay starting,Occasionally,Analyze and fix,Often,Very comfortable,Sometimes unclear,Occasional,Moderate,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Frequent,Moderate,Slightly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Sometimes unclear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Delay starting,Occasionally,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,No control,Slight impact,Busy,Managing,Strong,Mentally drained,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Frequent,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Reduce productivity,Hectic,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Overwhelmed,Clarify immediately,Rarely,Adjust quickly,Often,Comfortable,Clear,Frequent,High,Not refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Sometimes unpredictable,Low,Reduce productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Controlled,Overwhelmed,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Controlled,Managing,Strong,Mentally drained,Try to figure out,Rarely,Feel stressed,Rarely,Very comfortable,Often unclear,Rare,Moderate,Mostly refreshed,Slight discomfort,Mild
Slightly high,Frequently,Predictable,High,Slight impact,Hectic,Managing,Moderate,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Always,Comfortable,Often unclear,Occasional,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,Low,Fully refreshed,Slight discomfort,Minimal
High,Rarely,Predictable,High,Slight impact,Hectic,Managing,Strong,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Sometimes,Comfortable,Sometimes unclear,Occasional,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Managing,Weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Frequent,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Reduce productivity,Busy,In control,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Uncomfortable,Mostly clear,Frequent,High,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Often unclear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,Struggling,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,Managing,Weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Clear,Constant,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Frequently,Predictable,Low,Slight impact,Busy,Overwhelmed,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Very low,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Hectic,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Sometimes unclear,Rare,Moderate,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Hectic,Managing,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,Moderate,Slightly refreshed,Slight discomfort,Noticeable
High,Occasionally,Mostly predictable,Moderate,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Often,Uncomfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Uncomfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,Overwhelmed,Weak,Slightly tired,Clarify immediately,Occasionally,Adjust quickly,Always,Very comfortable,Clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Feel stressed,Always,Slightly uncomfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Rarely,Feel stressed,Sometimes,Very comfortable,Mostly clear,Occasional,High,Slightly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Frequent,Low,Mostly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Mild
High,Frequently,Sometimes unpredictable,High,Improve productivity,Hectic,Struggling,Weak,Satisfied and clear,Avoid it,Occasionally,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,No control,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Mostly predictable,Low,Slight impact,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Sometimes,Slightly uncomfortable,Clear,Rare,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Mostly predictable,Low,Slight impact,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Mostly clear,Occasional,Low,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Often,Slightly uncomfortable,Often unclear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,Low,Slight impact,Busy,In control,Strong,Slightly tired,Try to figure out,Frequently,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,High,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Rare,Low,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Frequently,Adjust quickly,Always,Comfortable,Clear,Rare,Moderate,Slightly refreshed,Comfortable,Mild
High,Rarely,Predictable,High,Slight impact,Controlled,Managing,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,High,Mostly refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,Moderate,Slight impact,Controlled,Managing,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Constant,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Slight impact,Busy,In control,Strong,Mentally drained,Clarify immediately,Occasionally,Feel stressed,Always,Uncomfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,Low,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,Low,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,Low,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Low,Slight impact,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Mentally drained,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Sometimes unclear,Frequent,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Hectic,In control,Weak,Satisfied and clear,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Sometimes unpredictable,Low,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Avoid dealing,Often,Comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Minimal
