employee_id,meeting_hours,meeting_count,after_hours_work_hours,focus_hours,workday_span_hours
1,1.34,2,0.38,1.13,11.35
2,5.14,12,0.68,2.41,7.18
3,5.71,11,1.48,2.24,8.57
4,5.91,10,1.66,2.05,6.99
5,5.27,2,0.4,4.48,9.63
6,5.58,3,1.46,1.6,9.05
7,5.73,7,1.76,3.36,6.04
8,2.56,5,2.27,1.54,9.73
9,5.2,12,0.76,2.2,8.6
10,5.37,6,1.77,1.33,7.41
11,2.83,6,2.11,4.89,10.52
12,2.32,10,0.34,3.06,9.76
13,5.5,7,2.45,1.5,11.94
14,5.63,3,2.07,4.25,7.41
15,3.45,5,2.0,2.17,8.3
16,5.73,10,0.61,3.67,8.69
17,1.96,2,1.59,3.09,6.17
18,4.36,5,0.67,3.81,11.98
19,4.92,10,2.24,3.03,10.07
20,3.09,10,2.04,4.48,11.94
21,5.11,2,0.1,3.21,11.24
22,4.27,8,0.03,2.54,11.27
23,4.49,5,2.75,3.37,10.2
24,1.25,6,2.0,2.35,10.79
25,5.8,4,2.51,1.23,10.84
26,2.86,5,0.35,1.91,7.98
27,5.61,5,2.89,1.42,10.14
28,4.34,3,0.3,4.57,9.68
29,3.73,8,0.16,3.04,11.7
30,3.73,12,2.1,2.89,9.27
31,3.59,9,0.45,1.49,9.36
32,1.91,11,2.1,1.98,10.27
33,2.24,6,2.1,4.91,9.65
34,3.41,4,1.76,2.03,11.98
35,2.92,7,0.26,1.43,11.73
36,2.25,4,1.66,3.11,7.87
37,1.66,6,2.07,3.94,10.79
38,3.67,8,0.97,2.24,11.59
39,1.3,5,2.86,2.11,6.23
40,4.84,5,1.89,2.12,11.68
41,4.8,11,0.53,1.12,11.55
42,1.32,10,0.48,3.34,6.26
43,5.96,6,1.08,1.65,6.61
44,4.59,6,1.83,3.48,10.45
45,3.28,8,2.95,4.16,11.9
46,4.91,4,0.81,4.17,9.69
47,3.74,9,2.56,3.09,11.33
48,2.54,7,1.69,4.48,11.09
49,3.42,12,0.39,1.27,6.01
50,5.82,6,1.27,2.43,9.49
51,4.52,4,0.94,1.24,11.96
52,4.59,7,0.62,2.64,8.28
53,1.89,3,0.98,3.63,10.55
54,1.77,11,2.18,2.09,10.97
55,4.64,4,0.84,2.44,11.23
56,4.93,8,2.96,1.3,10.75
57,2.78,6,0.84,2.74,11.02
58,5.41,5,0.84,4.51,6.7
59,1.97,4,2.35,4.0,9.97
60,4.04,12,2.82,3.93,10.92
61,1.86,8,0.63,2.58,11.05
62,5.87,5,2.95,3.63,6.43
63,3.79,12,2.03,4.49,6.58
64,2.3,11,2.04,4.56,9.2
65,1.82,9,2.67,2.2,6.47
66,1.77,4,0.67,3.22,6.49
67,4.32,12,1.0,1.36,8.37
68,3.9,4,0.57,2.67,7.28
69,3.68,4,0.88,1.15,7.41
70,5.19,10,2.61,4.66,11.08
71,1.35,2,1.94,1.1,9.96
72,5.9,3,2.93,4.84,6.93
73,5.57,6,0.24,4.44,9.49
74,4.48,12,0.69,1.72,6.65
75,5.41,12,0.62,3.29,6.27
76,5.64,9,1.38,2.68,8.09
77,1.9,6,0.09,1.83,9.04
78,1.6,11,1.38,2.49,11.33
79,5.17,3,1.94,4.08,9.25
80,2.51,3,0.83,2.28,7.3
81,2.46,12,2.28,2.77,8.62
82,5.53,2,0.41,4.91,7.74
83,3.08,6,2.55,1.1,11.17
84,4.16,5,2.35,1.13,8.65
85,1.31,4,2.55,4.41,8.96
86,1.02,11,2.79,2.62,11.02
87,5.66,4,2.89,1.46,7.45
88,1.99,11,0.22,2.87,9.45
89,5.71,7,0.84,3.61,8.74
90,1.97,4,1.49,1.57,11.16
91,2.24,10,0.22,1.98,9.62
92,5.0,9,0.84,4.15,6.07
93,2.99,4,2.02,2.14,9.28
94,1.38,3,0.95,2.51,8.37
95,2.23,8,2.14,3.32,7.23
96,5.59,2,1.29,2.58,9.02
97,3.18,12,0.62,4.59,9.88
98,2.43,4,2.81,1.52,11.99
99,4.01,2,2.06,2.56,7.36
100,2.12,9,2.19,3.09,7.42
101,5.2,7,1.11,2.6,8.51
102,4.47,6,0.84,3.6,9.02
103,2.41,10,2.61,3.46,10.41
104,1.78,5,1.68,4.91,8.44
105,4.31,5,0.24,1.32,11.21
106,2.17,5,1.94,1.99,7.26
107,3.33,10,2.17,1.22,10.44
108,5.95,11,2.87,4.29,6.12
109,3.88,12,0.06,3.93,8.39
110,3.89,11,2.57,3.74,9.73
111,2.99,8,0.66,4.21,6.99
112,1.01,6,0.15,1.21,9.96
113,3.57,12,2.91,1.19,7.45
114,2.75,3,2.54,2.48,8.92
115,1.74,10,1.21,3.46,10.56
116,5.68,12,2.19,1.56,10.49
117,5.99,11,1.77,3.59,11.9
118,4.3,2,1.45,2.52,8.27
119,4.66,10,0.32,1.73,10.72
120,1.42,12,0.94,3.46,9.27
121,5.69,4,1.52,1.34,8.85
122,3.17,5,2.62,3.02,9.34
123,3.92,2,1.56,1.78,9.07
124,1.62,8,1.93,3.55,11.54
125,4.45,2,0.95,1.46,7.81
126,3.21,9,1.86,2.98,11.3
127,3.68,8,1.87,4.39,9.35
128,4.61,2,1.78,4.39,7.27
129,3.37,10,1.78,1.02,6.81
130,4.95,3,0.93,4.82,7.84
131,1.45,12,0.36,4.96,11.96
132,3.85,3,1.98,2.68,11.09
133,1.52,10,2.68,1.37,6.54
134,5.06,4,1.82,1.89,7.92
